stream_key,reported_at,form_url,verification,registered_form,UDA,UPA,rejected,po_total_valid,total_cast_form,reviewer_a,reviewer_b,notes,ocr_confidence,ocr_route,source_sha256,source_page
040-0196-001-01,,../data/public/elections/banissa-2025/forms/uploaded/8ba7438afeaaef9a.pdf#page=1,HUMAN,484,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.236; source=data/public/elections/banissa-2025/forms/009040019600101/v1_8ba7438afeaa.pdf; page=1,0.2355,QUARANTINE,8ba7438afeaaef9a84a915f973c9a4f8fc391853473808002fa9fe198f68a5df,1
040-0196-007-01,,../data/public/elections/banissa-2025/forms/uploaded/78ec219f1c8a889a.pdf#page=1,HUMAN,516,1,3,,62,62,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.529; source=data/public/elections/banissa-2025/forms/009040019600701/v1_78ec219f1c8a.pdf; page=1,0.5291,QUARANTINE,78ec219f1c8a889a584b19b4bcd5c45a5ed30d7419c1fde6044b0d5667a98a4c,1
040-0196-007-02,,../data/public/elections/banissa-2025/forms/uploaded/1662eab46629f17a.pdf#page=1,HUMAN,515,1,390,,77,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.301; source=data/public/elections/banissa-2025/forms/009040019600702/v1_1662eab46629.pdf; page=1,0.3005,QUARANTINE,1662eab46629f17ac2744687ba9d92f1ecf43bb00ad6baa6cf79f452490220c9,1
040-0196-007-03,,../data/public/elections/banissa-2025/forms/uploaded/0a4001b5ba17f848.pdf#page=1,HUMAN,1,,,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.098; source=data/public/elections/banissa-2025/forms/009040019600703/v1_0a4001b5ba17.pdf; page=1,0.0984,QUARANTINE,0a4001b5ba17f8482f62bc93c5e029fe9332094e2c14cf76eeb49041e0eb496f,1
040-0196-008-01,,../data/public/elections/banissa-2025/forms/uploaded/df652db915c1b553.pdf#page=1,HUMAN,120,2,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040019600601/v1_df652db915c1.pdf; page=1,0.2339,QUARANTINE,df652db915c1b5533171133b85030b130608aad780478624785dadb951b60f35,1
040-0196-008-01,,../data/public/elections/banissa-2025/forms/uploaded/438f0d64c24c5f68.pdf#page=1,HUMAN,120,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040019600801/v1_438f0d64c24c.pdf; page=1,0.2339,QUARANTINE,438f0d64c24c5f681468064045beb118633bf14934329238bf9cd9286428fa05,1
040-0196-039-01,,../data/public/elections/banissa-2025/forms/uploaded/e1a72f2774c3b8a9.pdf#page=1,HUMAN,,1,2,,7,,,,OCR prefill only; status=QUARANTINE; engine=tesseract; confidence=0.397; source=data/public/elections/banissa-2025/forms/unmatched/v1_e1a72f2774c3.pdf; page=1,0.3967,QUARANTINE,e1a72f2774c3b8a986f71cbf9c6c6c5929b8c8a044e964d319e53a91187dd854,1
040-0196-040-01,,../data/public/elections/banissa-2025/forms/uploaded/6812d0f345db1406.pdf#page=1,HUMAN,46,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040019604001/v1_6812d0f345db.pdf; page=1,0.2339,QUARANTINE,6812d0f345db14061f7f6b4186f752d4b8bdf94a39c87f5a9455091aa0755742,1
040-0196-041-01,,../data/public/elections/banissa-2025/forms/uploaded/56caa9e5b7064ba4.pdf#page=1,HUMAN,1,7125,2,,37,37,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.472; source=data/public/elections/banissa-2025/forms/009040019604101/v1_56caa9e5b706.pdf; page=1,0.4720,QUARANTINE,56caa9e5b7064ba4f2e277f6a8d0c8196c784c890b59d4ebdecfc3f19b810af5,1
040-0197-009-01,,../data/public/elections/banissa-2025/forms/uploaded/7d96ce34bc30fd82.pdf#page=1,HUMAN,658,29060,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040019700901/v1_7d96ce34bc30.pdf; page=1,0.2339,QUARANTINE,7d96ce34bc30fd82f50eb0b2550ead745572d5c03c12a4ae8a1a254655a15e8d,1
040-0197-009-02,,../data/public/elections/banissa-2025/forms/uploaded/525e7de0fc98afa4.pdf#page=1,HUMAN,658,1,2,4,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040019700902/v1_525e7de0fc98.pdf; page=1,0.2339,QUARANTINE,525e7de0fc98afa40846f5e1b6d79404d1b436d99811ac3a30f8c4f7a143f810,1
040-0197-010-01,,../data/public/elections/banissa-2025/forms/uploaded/4722cd4c02dd5630.pdf#page=1,HUMAN,630,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040019701001/v1_4722cd4c02dd.pdf; page=1,0.2339,QUARANTINE,4722cd4c02dd56306ad8b684698f43106785a1954336e922ced5462eceebd689,1
040-0197-010-02,,../data/public/elections/banissa-2025/forms/uploaded/195d18ea8371baee.pdf#page=1,HUMAN,630,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040019701002/v1_195d18ea8371.pdf; page=1,0.2339,QUARANTINE,195d18ea8371baee948054b77835b5f34332a3ca15186bc11100d0978d6387fb,1
040-0197-010-03,,../data/public/elections/banissa-2025/forms/uploaded/a569e1303455a13a.pdf#page=1,HUMAN,629,1,26,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040019701003/v1_a569e1303455.pdf; page=1,0.2339,QUARANTINE,a569e1303455a13a007b08117fabb45b964f6247594a9bcfc3ecca93aafeb8fa,1
040-0197-011-01,,../data/public/elections/banissa-2025/forms/uploaded/a063ac09b29f0598.pdf#page=1,HUMAN,,1,9,,928,,,,OCR prefill only; status=QUARANTINE; engine=tesseract; confidence=0.397; source=data/public/elections/banissa-2025/forms/009040019701101/v1_a063ac09b29f.pdf; page=1,0.3967,QUARANTINE,a063ac09b29f05985e40bbbabd42a0ebb223e3499b2764582c2e285905de372f,1
040-0197-012-01,,../data/public/elections/banissa-2025/forms/uploaded/7b1b8e280ebe26c9.pdf#page=1,HUMAN,,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract; confidence=0.260; source=data/public/elections/banissa-2025/forms/009040019701201/v1_7b1b8e280ebe.pdf; page=1,0.2600,QUARANTINE,7b1b8e280ebe26c9349f64ae1cb225de51315bcdf9817c645bfe11e4193e2fa7,1
040-0197-013-01,,../data/public/elections/banissa-2025/forms/uploaded/adcdbf8a54c08c8b.pdf#page=1,HUMAN,53,1,2,8,4,12,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.381; source=data/public/elections/banissa-2025/forms/009040019701301/v1_adcdbf8a54c0.pdf; page=1,0.3806,QUARANTINE,adcdbf8a54c08c8ba7cd9054764bc6c8c0e3a337f39950cdf6b9b7edb0a46dae,1
040-0197-014-01,,../data/public/elections/banissa-2025/forms/uploaded/28a61983440622e2.pdf#page=1,HUMAN,559,221,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.302; source=data/public/elections/banissa-2025/forms/009040019701401/v1_28a619834406.pdf; page=1,0.3025,QUARANTINE,28a61983440622e23644e1f4fba9639d33510e33c9c890267d31828593e608f3,1
040-0197-014-02,,../data/public/elections/banissa-2025/forms/uploaded/b0c2f18689d73f3a.pdf#page=1,HUMAN,1,1,2,,2,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.384; source=data/public/elections/banissa-2025/forms/009040019701402/v1_b0c2f18689d7.pdf; page=1,0.3840,QUARANTINE,b0c2f18689d73f3a9ab8773a63cf096822a1439c0c496fda633a5b2eadce4672,1
040-0197-014-03,,../data/public/elections/banissa-2025/forms/uploaded/e1cf1b1a75602029.pdf#page=1,HUMAN,559,1,2,,7,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.382; source=data/public/elections/banissa-2025/forms/009040019701403/v1_e1cf1b1a7560.pdf; page=1,0.3823,QUARANTINE,e1cf1b1a7560202927b06698187083ea4646882ad92a4a3c072733734924d3c0,1
040-0197-043-01,,../data/public/elections/banissa-2025/forms/uploaded/b368e9236968964f.pdf#page=1,HUMAN,472,1,2,60,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.267; source=data/public/elections/banissa-2025/forms/009040019904801/v1_b368e9236968.pdf; page=1,0.2672,QUARANTINE,b368e9236968964f844d3be614969a0710caaa25d910672b53c09840d8824b17,1
040-0197-044-01,,../data/public/elections/banissa-2025/forms/uploaded/435e0992fe1cbe2b.pdf#page=1,HUMAN,53,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.286; source=data/public/elections/banissa-2025/forms/009040019704401/v1_435e0992fe1c.pdf; page=1,0.2856,QUARANTINE,435e0992fe1cbe2b280144c397e14fff472c6e5e5eabc0b6b3dfab05b2b312df,1
040-0198-016-01,,../data/public/elections/banissa-2025/forms/uploaded/a82784016b413501.pdf#page=1,HUMAN,506,1,7,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040019801601/v1_a82784016b41.pdf; page=1,0.2339,QUARANTINE,a82784016b4135017de3032687d0a1d613e04b9c213df23864c6b77d776aa04c,1
040-0198-017-01,,../data/public/elections/banissa-2025/forms/uploaded/83887619fa3b2d01.pdf#page=1,HUMAN,77,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040019801701/v1_83887619fa3b.pdf; page=1,0.2339,QUARANTINE,83887619fa3b2d010e1aab40270ca71f96fbd2150651850d3733b0d785e36bea,1
040-0198-018-01,,../data/public/elections/banissa-2025/forms/uploaded/36a2edab636c343d.pdf#page=1,HUMAN,240,1,2,,5,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.332; source=data/public/elections/banissa-2025/forms/009040019801901/v1_36a2edab636c.pdf; page=1,0.3323,QUARANTINE,36a2edab636c343d29cc81a5cd250c796cd125845d243f042610b26788ac43de,1
040-0198-020-01,,../data/public/elections/banissa-2025/forms/uploaded/af206977220ea712.pdf#page=1,HUMAN,26,2,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.286; source=data/public/elections/banissa-2025/forms/009040019802001/v1_af206977220e.pdf; page=1,0.2856,QUARANTINE,af206977220ea7124f9f1c72229b53f5e05bbd555e82b0c178a29e74e4218a99,1
040-0198-021-01,,../data/public/elections/banissa-2025/forms/uploaded/cbe251d7f2c12f57.pdf#page=1,HUMAN,2,1,2,,139,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.384; source=data/public/elections/banissa-2025/forms/009040019802101/v1_cbe251d7f2c1.pdf; page=1,0.3840,QUARANTINE,cbe251d7f2c12f572f702f8401d490ad5d718386419d5536d96da8db0b6d6003,1
040-0199-022-01,,../data/public/elections/banissa-2025/forms/uploaded/7479c9b565c4cc49.pdf#page=1,HUMAN,60,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.286; source=data/public/elections/banissa-2025/forms/009040019902201/v1_7479c9b565c4.pdf; page=1,0.2856,QUARANTINE,7479c9b565c4cc490f21aba6a5ef2b221b8f6113cd01b92c3effe96393512bfc,1
040-0199-023-01,,../data/public/elections/banissa-2025/forms/uploaded/0c9fbfb1ed6eb5b4.pdf#page=1,HUMAN,290,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040019902301/v1_0c9fbfb1ed6e.pdf; page=1,0.2339,QUARANTINE,0c9fbfb1ed6eb5b48425b5fa3094a04f6e2892afc69a2d965345b3d09b4ed643,1
040-0199-024-01,,../data/public/elections/banissa-2025/forms/uploaded/d9fdfd38e136b35f.pdf#page=1,HUMAN,500,1,2,,5,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.382; source=data/public/elections/banissa-2025/forms/009040019902401/v1_d9fdfd38e136.pdf; page=1,0.3823,QUARANTINE,d9fdfd38e136b35f02ac8761a80ce4e67d1ea1c7441bcbb2156472628af3a12d,1
040-0199-025-01,,../data/public/elections/banissa-2025/forms/uploaded/41f30f22efd0b96c.pdf#page=1,HUMAN,2,1,2,,25,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.286; source=data/public/elections/banissa-2025/forms/009040019902501/v1_41f30f22efd0.pdf; page=1,0.2856,QUARANTINE,41f30f22efd0b96c2a15fb93bc1c56784013996aab1847f2618372c6f537029b,1
040-0199-026-01,,../data/public/elections/banissa-2025/forms/uploaded/d3006b2a77157b3c.pdf#page=1,HUMAN,545,1,1,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040019902601/v1_d3006b2a7715.pdf; page=1,0.2339,QUARANTINE,d3006b2a77157b3c24ba0f79a9c8b135430b19a33fdf3bbe705b57119963b601,1
040-0199-028-01,,../data/public/elections/banissa-2025/forms/uploaded/b5975139c57a437f.pdf#page=1,HUMAN,117,1,2,,7,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.284; source=data/public/elections/banissa-2025/forms/009040019902801/v1_b5975139c57a.pdf; page=1,0.2839,QUARANTINE,b5975139c57a437f0b940e1c5a23eddacc067b636c2da92288b877b61aea11ac,1
040-0199-029-02,,../data/public/elections/banissa-2025/forms/uploaded/fa2d5d135e7adc51.pdf#page=1,HUMAN,646,1,73251,,2,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.332; source=data/public/elections/banissa-2025/forms/009040019902902/v1_fa2d5d135e7a.pdf; page=1,0.3323,QUARANTINE,fa2d5d135e7adc51f5b6fe8b1bf3959cfbb409e579dfd825cdd3569095d2c732,1
040-0199-029-03,,../data/public/elections/banissa-2025/forms/uploaded/7a59c99e5fc02b9c.pdf#page=1,HUMAN,4,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.286; source=data/public/elections/banissa-2025/forms/009040019902903/v1_7a59c99e5fc0.pdf; page=1,0.2856,QUARANTINE,7a59c99e5fc02b9cad579976f1fc1fbc7872e15333cae06b0eec81a7b0e05d42,1
040-0199-029-04,,../data/public/elections/banissa-2025/forms/uploaded/eb943122ac9d440f.pdf#page=1,HUMAN,,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract; confidence=0.260; source=data/public/elections/banissa-2025/forms/009040019902904/v1_eb943122ac9d.pdf; page=1,0.2600,QUARANTINE,eb943122ac9d440f7476457f5b9227ff2bbc29effed6f98f435ca45990e969c2,1
040-0199-029-05,,../data/public/elections/banissa-2025/forms/uploaded/879bca08a7927158.pdf#page=1,HUMAN,645,7,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.284; source=data/public/elections/banissa-2025/forms/009040019902905/v1_879bca08a792.pdf; page=1,0.2839,QUARANTINE,879bca08a7927158dc65fbcc8e747b35dd03312b5b7996aff197c1b325f6bed9,1
040-0199-030-01,,../data/public/elections/banissa-2025/forms/uploaded/2eb2ebc1e67f771f.pdf#page=1,HUMAN,1,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.286; source=data/public/elections/banissa-2025/forms/009040019903001/v1_2eb2ebc1e67f.pdf; page=1,0.2856,QUARANTINE,2eb2ebc1e67f771f63d5e4d2553c8fe643fb4647bc914494b91d2ffe9d2a44f6,1
040-0199-031-01,,../data/public/elections/banissa-2025/forms/uploaded/8d92e3731bd069b0.pdf#page=1,HUMAN,34,1,2,,15,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.332; source=data/public/elections/banissa-2025/forms/009040019903101/v1_8d92e3731bd0.pdf; page=1,0.3323,QUARANTINE,8d92e3731bd069b02db39abfbbe6524b30dbbff9ec94eae347ffcdc536401a1b,1
040-0199-049-01,,../data/public/elections/banissa-2025/forms/uploaded/24b6c986e248b21a.pdf#page=1,HUMAN,300,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040019904901/v1_24b6c986e248.pdf; page=1,0.2339,QUARANTINE,24b6c986e248b21a7b2ecc349c8218a83eff88a5328248f4f908c4e13ef96c20,1
040-0200-032-01,,../data/public/elections/banissa-2025/forms/uploaded/64992b21ea1079dd.pdf#page=1,HUMAN,592,1,2,2,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.289; source=data/public/elections/banissa-2025/forms/009040020003201/v1_64992b21ea10.pdf; page=1,0.2889,QUARANTINE,64992b21ea1079dd11d57f2f0750114ecf792fdc181d012b98844ce5270fd32a,1
040-0200-032-03,,../data/public/elections/banissa-2025/forms/uploaded/4a6a516eefdf3718.pdf#page=1,HUMAN,591,89,8,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.140; source=data/public/elections/banissa-2025/forms/009040020003203/v1_4a6a516eefdf.pdf; page=1,0.1403,QUARANTINE,4a6a516eefdf371852618f8395a8afd4d77efed5b7156d6f4c7cfe3aa022050a,1
040-0200-033-01,,../data/public/elections/banissa-2025/forms/uploaded/8a8909bc3f9fa67a.pdf#page=1,HUMAN,590,1,1205,,7,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.276; source=data/public/elections/banissa-2025/forms/009040020003301/v1_8a8909bc3f9f.pdf; page=1,0.2755,QUARANTINE,8a8909bc3f9fa67afdfc8ad8d627b3704f7eaf4532294ad492808f119b21476a,1
040-0200-033-02,,../data/public/elections/banissa-2025/forms/uploaded/17ee251caf389473.pdf#page=1,HUMAN,590,1,2,,2,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.279; source=data/public/elections/banissa-2025/forms/009040020003302/v1_17ee251caf38.pdf; page=1,0.2789,QUARANTINE,17ee251caf38947331371d3d7ce3ccce6ae76f101ef881e623181cfbbe9b8003,1
040-0200-034-01,,../data/public/elections/banissa-2025/forms/uploaded/830fa897b4ca72b1.pdf#page=1,HUMAN,4,4,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.286; source=data/public/elections/banissa-2025/forms/009040020003401/v1_830fa897b4ca.pdf; page=1,0.2856,QUARANTINE,830fa897b4ca72b1618d3693e86424912f00bbd9a81cf8596b315f71a2f90580,1
040-0200-035-01,,../data/public/elections/banissa-2025/forms/uploaded/11512295d7dd7030.pdf#page=1,HUMAN,497,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040020003501/v1_11512295d7dd.pdf; page=1,0.2339,QUARANTINE,11512295d7dd70303cd3cd55643f4098fe3c9442583bf0b8ded5361708f6b25e,1
040-0200-036-01,,../data/public/elections/banissa-2025/forms/uploaded/79da4187ef993e1f.pdf#page=1,HUMAN,426,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040020003601/v1_79da4187ef99.pdf; page=1,0.2339,QUARANTINE,79da4187ef993e1f39d003d291e32bb2e905dd9f3a8bd4e707e4c96e91ccbfbd,1
040-0200-037-01,,../data/public/elections/banissa-2025/forms/uploaded/751b7d06f5cb9a2f.pdf#page=1,HUMAN,1,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.286; source=data/public/elections/banissa-2025/forms/009040020003701/v1_751b7d06f5cb.pdf; page=1,0.2856,QUARANTINE,751b7d06f5cb9a2fcd90ad9add5a4041854c3b961f52b780712b62fc43419cab,1
040-0200-045-01,,../data/public/elections/banissa-2025/forms/uploaded/53fdd63c764fa5bf.pdf#page=1,HUMAN,62,1,0,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.257; source=data/public/elections/banissa-2025/forms/009040020004501/v1_53fdd63c764f.pdf; page=1,0.2569,QUARANTINE,53fdd63c764fa5bf5e04f80e29c43f2295757d91b82e1708eaaece9bed195f6f,1
040-0200-050-01,,../data/public/elections/banissa-2025/forms/uploaded/80b39a53d120757f.pdf#page=1,HUMAN,,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract; confidence=0.260; source=data/public/elections/banissa-2025/forms/009040020005001/v1_80b39a53d120.pdf; page=1,0.2600,QUARANTINE,80b39a53d120757f90ac52f1e39bf4b644f28a4390025ff5e2419aacabd7db98,1
040-0200-051-01,,../data/public/elections/banissa-2025/forms/uploaded/13f710f4f2e6d1f9.pdf#page=1,HUMAN,114,1,72,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040020005101/v1_13f710f4f2e6.pdf; page=1,0.2339,QUARANTINE,13f710f4f2e6d1f994c6771e8dafa2695d2a02bb1925207382ca1c5157a9dc4a,1
040-0200-052-01,,../data/public/elections/banissa-2025/forms/uploaded/5f18f74883caa0bc.pdf#page=1,HUMAN,98,1,0,2,7,9,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.286; source=data/public/elections/banissa-2025/forms/009040020005201/v1_5f18f74883ca.pdf; page=1,0.2861,QUARANTINE,5f18f74883caa0bcc16012fb2c1016deceb89507b4d7fedb81dd8c2efb72c5d6,1
040-0200-053-01,,../data/public/elections/banissa-2025/forms/uploaded/8ddd0aa9b312238b.pdf#page=1,HUMAN,280,1,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.234; source=data/public/elections/banissa-2025/forms/009040020005301/v1_8ddd0aa9b312.pdf; page=1,0.2339,QUARANTINE,8ddd0aa9b312238b6ba24be599e89ac1229515a1f01e7a7253b92eb8252c9c08,1
