stream_key,reported_at,form_url,verification,registered_form,UDA,DAPK,WT,rejected,po_total_valid,total_cast_form,reviewer_a,reviewer_b,notes,ocr_confidence,ocr_route,source_sha256,source_page
201-1002-001-01,,../data/public/elections/malava-2025/forms/uploaded/d3d5ec5bcbbc9a97.pdf#page=1,HUMAN,55,2467,,5,,72,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.237; source=data/public/elections/malava-2025/forms/037201605155819153/v1_d3d5ec5bcbbc.pdf; page=1,0.2373,QUARANTINE,d3d5ec5bcbbc9a97828593de514c268d469e0232e485043220fcbb6d8aaf96f9,1
201-1003-016-02,,../data/public/elections/malava-2025/forms/uploaded/30fbbd5147a0e455.pdf#page=1,HUMAN,,,8,,2,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.165; source=data/public/elections/malava-2025/forms/037201712993420218/v1_30fbbd5147a0.pdf; page=1,0.1646,QUARANTINE,30fbbd5147a0e455d91a722e37b112d394d5fb0b0a55165502c9694b95ac37ea,1
201-1003-017-01,,../data/public/elections/malava-2025/forms/uploaded/ced49e8bb9f5bb19.pdf#page=1,HUMAN,,6,0,2,,222,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.225; source=data/public/elections/malava-2025/forms/037201852373895143/v1_ced49e8bb9f5.pdf; page=1,0.2247,QUARANTINE,ced49e8bb9f5bb19eae13666a13d2f38b1b4dbe8980f8a1450889103421311a6,1
201-1003-017-02,,../data/public/elections/malava-2025/forms/uploaded/f7d72939f2b99d0d.pdf#page=1,HUMAN,,34,,0,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.129; source=data/public/elections/malava-2025/forms/037201648536648273/v1_f7d72939f2b9.pdf; page=1,0.1288,QUARANTINE,f7d72939f2b99d0d1123d3e9dc206355f9d1421cf4ef5bfa722df4a5e2167bd9,1
201-1003-018-01,,../data/public/elections/malava-2025/forms/uploaded/be0653c983436a29.pdf#page=1,HUMAN,,6,,0,,8,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.176; source=data/public/elections/malava-2025/forms/037201503609233353/v1_be0653c98343.pdf; page=1,0.1762,QUARANTINE,be0653c983436a2900ee88bcb128d044b361d9937d4e61f4d47d66a2bf7cfb23,1
201-1003-018-02,,../data/public/elections/malava-2025/forms/uploaded/0f650198e0ba7583.pdf#page=1,HUMAN,,6,8,9,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.241; source=data/public/elections/malava-2025/forms/037201687821914966/v1_0f650198e0ba.pdf; page=1,0.2407,QUARANTINE,0f650198e0ba7583de1bf75afdf3f50db63d847ee9894bf5da4f97e8decfe420,1
201-1003-020-01,,../data/public/elections/malava-2025/forms/uploaded/7d0f525988662d6b.pdf#page=1,HUMAN,,6,0,2,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.160; source=data/public/elections/malava-2025/forms/037201615707038855/v1_7d0f52598866.pdf; page=1,0.1605,QUARANTINE,7d0f525988662d6b651ad31eec874b63b74e9a489772e2703930e5f90ff11822,1
201-1003-021-01,,../data/public/elections/malava-2025/forms/uploaded/f547a5291b81b045.pdf#page=1,HUMAN,2,6,8,,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.160; source=data/public/elections/malava-2025/forms/037201553310821659/v1_f547a5291b81.pdf; page=1,0.1605,QUARANTINE,f547a5291b81b0450a4a04dfa8188747215b4475e0f3790352646258af268e80,1
201-1003-021-02,,../data/public/elections/malava-2025/forms/uploaded/eb1be07c28df515c.pdf#page=1,HUMAN,,2,1,9,,2,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.292; source=data/public/elections/malava-2025/forms/037201665013424074/v1_eb1be07c28df.pdf; page=1,0.2921,QUARANTINE,eb1be07c28df515cb3713a0a83610fba3adba9fabed15e92e6331fa3bfd83847,1
201-1003-022-02,,../data/public/elections/malava-2025/forms/uploaded/26a4060e3093fd09.pdf#page=1,HUMAN,,,,3,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.080; source=data/public/elections/malava-2025/forms/037201170906158049/v1_26a4060e3093.pdf; page=1,0.0802,QUARANTINE,26a4060e3093fd09df97e3d72e97cf168548ddb15b31a64cdb07983601cdf037,1
201-1003-022-03,,../data/public/elections/malava-2025/forms/uploaded/8ac503196ccdb79a.pdf#page=1,HUMAN,3,7,8,,,567,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.202; source=data/public/elections/malava-2025/forms/037201118949418016/v1_8ac503196ccd.pdf; page=1,0.2025,QUARANTINE,8ac503196ccdb79af1cff78a6e044efd28fbb3c5332e42756ef11d223c25ab69,1
201-1003-022-04,,../data/public/elections/malava-2025/forms/uploaded/b336fe18660ebf14.pdf#page=1,HUMAN,,6,,,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.080; source=data/public/elections/malava-2025/forms/037201889547887560/v1_b336fe18660e.pdf; page=1,0.0802,QUARANTINE,b336fe18660ebf149f03177b36664d309301501e830508e2b4d50c6e180c936e,1
201-1003-023-01,,../data/public/elections/malava-2025/forms/uploaded/a4d663349618f8ea.pdf#page=1,HUMAN,,0,8,900,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.241; source=data/public/elections/malava-2025/forms/037201984733754415/v1_a4d663349618.pdf; page=1,0.2407,QUARANTINE,a4d663349618f8ea8249a438f85fecbb16ddc835af3cc9e193283c956ed95e15,1
201-1003-101-01,,../data/public/elections/malava-2025/forms/uploaded/f3a1d4d61274678f.pdf#page=1,HUMAN,,734,8,,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.160; source=data/public/elections/malava-2025/forms/037201815001430815/v1_f3a1d4d61274.pdf; page=1,0.1605,QUARANTINE,f3a1d4d61274678f5005a30e0db5caa920f039ca359e83b242dcfae0305140c6,1
201-1003-102-01,,../data/public/elections/malava-2025/forms/uploaded/1cc7fb70dead437d.pdf#page=1,HUMAN,23,70,8,8,2,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.342; source=data/public/elections/malava-2025/forms/037201884759077224/v1_1cc7fb70dead.pdf; page=1,0.3422,QUARANTINE,1cc7fb70dead437d386b4fbf6842615de1308a4bd5197c4d2baed6c9d2c12b62,1
201-1003-104-01,,../data/public/elections/malava-2025/forms/uploaded/0cd5f10be681541a.pdf#page=1,HUMAN,,6,2025,,,2,2,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.160; source=data/public/elections/malava-2025/forms/037201660604283245/v1_0cd5f10be681.pdf; page=1,0.1605,QUARANTINE,0cd5f10be681541a3a061980e7c02b0099e9b25c437ff10bf25a947eb24e7f16,1
201-1003-105-01,,../data/public/elections/malava-2025/forms/uploaded/990555e88285e40e.pdf#page=1,HUMAN,,,8,,,5,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.165; source=data/public/elections/malava-2025/forms/037201970622395403/v1_990555e88285.pdf; page=1,0.1646,QUARANTINE,990555e88285e40e00db4955d49fbcd2cf25f1d4dad0ff12597a1efbc71e9802,1
201-1004-024-01,,../data/public/elections/malava-2025/forms/uploaded/f7f7c7e7b2f192f1.pdf#page=1,HUMAN,2,6,8,9,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.274; source=data/public/elections/malava-2025/forms/037201194212709006/v1_f7f7c7e7b2f1.pdf; page=1,0.2735,QUARANTINE,f7f7c7e7b2f192f190eaa5391f25a0cc6203aca93775c36caa95d0c0095faa24,1
201-1004-024-02,,../data/public/elections/malava-2025/forms/uploaded/edea9cb1fcaf5d68.pdf#page=1,HUMAN,,,0,,2,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.102; source=data/public/elections/malava-2025/forms/037201811280095617/v1_edea9cb1fcaf.pdf; page=1,0.1017,QUARANTINE,edea9cb1fcaf5d683fef3961d65507492fe7949d2d80e724a7ffebab4d453c50,1
201-1004-025-01,,../data/public/elections/malava-2025/forms/uploaded/639d8f5d4a9decab.pdf#page=1,HUMAN,,6,8,9,2,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.325; source=data/public/elections/malava-2025/forms/037201523088367878/v1_639d8f5d4a9d.pdf; page=1,0.3250,QUARANTINE,639d8f5d4a9decabf07ac3cf320a9bb64c9a5cb7aac62e91e18e72dc738a0fc3,1
201-1004-025-02,,../data/public/elections/malava-2025/forms/uploaded/7895e2a418c00ab2.pdf#page=1,HUMAN,,2,3,8,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.143; source=data/public/elections/malava-2025/forms/037201068433301940/v1_7895e2a418c0.pdf; page=1,0.1431,QUARANTINE,7895e2a418c00ab26e1eb1bc71a3b48bede30540ca2ed3298509fa29f576822e,1
201-1004-025-03,,../data/public/elections/malava-2025/forms/uploaded/b8cbe7ce40b95faf.pdf#page=1,HUMAN,,7,,202,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.160; source=data/public/elections/malava-2025/forms/037201305072857484/v1_b8cbe7ce40b9.pdf; page=1,0.1605,QUARANTINE,b8cbe7ce40b95faf7c6f0bdc5e3e83352eee3456f894d1816d716f1926510d00,1
201-1004-026-01,,../data/public/elections/malava-2025/forms/uploaded/85cdd2141c5010b1.pdf#page=1,HUMAN,2,6,8,,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.198; source=data/public/elections/malava-2025/forms/037201493241690448/v1_85cdd2141c50.pdf; page=1,0.1976,QUARANTINE,85cdd2141c5010b129b063ed3b7463dff4271ef8d4ef72c3e6b7631c62cfcd66,1
201-1004-026-02,,../data/public/elections/malava-2025/forms/uploaded/16c82f2eb730c77a.pdf#page=1,HUMAN,,6,8,2,20,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.241; source=data/public/elections/malava-2025/forms/037201142601883889/v1_16c82f2eb730.pdf; page=1,0.2407,QUARANTINE,16c82f2eb730c77a383ef46309f7156f8f5675b2bc719e76e0feca050b6d56c4,1
201-1004-027-01,,../data/public/elections/malava-2025/forms/uploaded/5b02cde2bcdd30fd.pdf#page=1,HUMAN,,6,,0,2,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.329; source=data/public/elections/malava-2025/forms/037201287478485054/v1_5b02cde2bcdd.pdf; page=1,0.3291,QUARANTINE,5b02cde2bcdd30fdc284b62b40728025c85fd0dccadc7171540f05d3decaaaaa,1
201-1004-029-01,,../data/public/elections/malava-2025/forms/uploaded/2a0dc0b3002c5fcf.pdf#page=1,HUMAN,,6,8,0,,8,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.325; source=data/public/elections/malava-2025/forms/037201713860124020/v1_2a0dc0b3002c.pdf; page=1,0.3250,QUARANTINE,2a0dc0b3002c5fcfdb664be5738a0020f69f7722597d939894c9e6a8d5612a57,1
201-1004-029-02,,../data/public/elections/malava-2025/forms/uploaded/9be43ef2ec8222d6.pdf#page=1,HUMAN,,,8,9,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.160; source=data/public/elections/malava-2025/forms/037201689587918303/v1_9be43ef2ec82.pdf; page=1,0.1605,QUARANTINE,9be43ef2ec8222d6085a28167efa47d16d9f70ee9a284bf45b9ea3cf94d35681,1
201-1004-030-01,,../data/public/elections/malava-2025/forms/uploaded/540930388d607494.pdf#page=1,HUMAN,,6,3,0,8,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.325; source=data/public/elections/malava-2025/forms/037201244218161762/v1_540930388d60.pdf; page=1,0.3250,QUARANTINE,540930388d60749493f8536667467996f982ec9259942a7de441c5e408666164,1
201-1004-032-01,,../data/public/elections/malava-2025/forms/uploaded/d26c310787c48855.pdf#page=1,HUMAN,,6,,0,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.160; source=data/public/elections/malava-2025/forms/037201450799442696/v1_d26c310787c4.pdf; page=1,0.1605,QUARANTINE,d26c310787c488554182ab77f0b3bf69b30dc838c9e8e3684a292151a19d6ebe,1
201-1004-033-01,,../data/public/elections/malava-2025/forms/uploaded/07e8daab7d9d4889.pdf#page=1,HUMAN,,6,,8,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.160; source=data/public/elections/malava-2025/forms/037201284836638854/v1_07e8daab7d9d.pdf; page=1,0.1605,QUARANTINE,07e8daab7d9d4889f560adc95a25f03136a3a3d799677721fea0653e97adfde6,1
201-1004-034-01,,../data/public/elections/malava-2025/forms/uploaded/bde0251e541bd8c5.pdf#page=1,HUMAN,,3,,,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.080; source=data/public/elections/malava-2025/forms/037201860338211669/v1_bde0251e541b.pdf; page=1,0.0802,QUARANTINE,bde0251e541bd8c55f9bb23a40a45b624220cff77713f33cb534715a36b11bb5,1
201-1004-035-01,,../data/public/elections/malava-2025/forms/uploaded/59b24b0864d03078.pdf#page=1,HUMAN,,,222,9,2,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.173; source=data/public/elections/malava-2025/forms/037201852512832698/v1_59b24b0864d0.pdf; page=1,0.1731,QUARANTINE,59b24b0864d03078c33fbb13fe2452d6ae972cdfb5b9cea91604889c36511d38,1
201-1004-106-01,,../data/public/elections/malava-2025/forms/uploaded/853bb3667e7fcf44.pdf#page=1,HUMAN,,6,8,9,12,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.325; source=data/public/elections/malava-2025/forms/037201555391820433/v1_853bb3667e7f.pdf; page=1,0.3250,QUARANTINE,853bb3667e7fcf44c25d225498e35419cc32c129f909a1dd7993234652d156fe,1
201-1004-107-01,,../data/public/elections/malava-2025/forms/uploaded/a6a732ec0116a0c7.pdf#page=1,HUMAN,1,8,6,9,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract; confidence=0.451; source=data/public/elections/malava-2025/forms/037201799955106347/v1_a6a732ec0116.pdf; page=1,0.4514,QUARANTINE,a6a732ec0116a0c7861d3b0e6dee7461279ee39bfc2f16eae4e81993ce4ce9b7,1
201-1005-036-01,,../data/public/elections/malava-2025/forms/uploaded/95e571a983485af7.pdf#page=1,HUMAN,,8,8,920105,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.241; source=data/public/elections/malava-2025/forms/037201055693028712/v1_95e571a98348.pdf; page=1,0.2407,QUARANTINE,95e571a983485af78ee8c895085da04446823cfb4e42ef982f6623928bf75567,1
201-1005-036-02,,../data/public/elections/malava-2025/forms/uploaded/82156d5dd302e7af.pdf#page=1,HUMAN,1,6,8,9,2,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.409; source=data/public/elections/malava-2025/forms/037201208545647184/v1_82156d5dd302.pdf; page=1,0.4094,QUARANTINE,82156d5dd302e7afd9a125bef1d94d42536a5e149b3fc57609537ede70d8b11a,1
201-1005-037-01,,../data/public/elections/malava-2025/forms/uploaded/22480d18b059e08f.pdf#page=1,HUMAN,,2,2,,,,,,,OCR prefill only; status=QUARANTINE; engine=tesseract+layout-handwriting; confidence=0.051; source=data/public/elections/malava-2025/forms/037201193186882533/v1_22480d18b059.pdf; page=1,0.0514,QUARANTINE,22480d18b059e08f4294a4b02950fc6f267cf72ba0fc4457d3f7bc474e7d5c93,1
